"MIP","STDIP","EKIP","SIP","MC","STDC","EKC","SC","TARGET"
"84.7421875","40.00727397","1.368956989","3.812073222","5.736622074","32.04731081","5.9796027","36.14797519","1"
"83.6796875","36.37928102",".572531753","2.66461052","4.0409699","23.16912864","7.006681423","53.51400467","0"
"83.96875","32.78693945",".972955394","4.940514989","1.638795987","11.93460301","12.15731657","199.3218792","0"
"83.53125","42.52167416",".581761011","1.230802536","3.428093645","17.79643383","7.050441726","61.66259441","0"
"88.4375","37.81177685",".689215581","2.035293755","2.415551839","18.02795281","8.828613361","86.79989428","1"
"83.359375","34.93760831",".770642411","3.047239246","1.439799331","15.81722172","12.08712904","152.9470044","1"
"83.140625","36.78946316",".919900696","3.227861054","2.857859532","16.52630001","8.124413751","83.1701685","0"
"83.140625","39.0999789",".478936343","1.565910234",".481605351","8.813877935","23.31369153","613.7747235","0"
"83.3828125","37.5266824",".606270094","2.52160106","1.476588629","12.91664635","11.9481964","174.9137902","0"
"83.875","43.17551389",".721663137","1.517343046","2.933110368","19.35361505","8.55802382","82.08791866","0"
"83.125","38.79594051",".683774236","2.109894127","3.85367893","23.62342868","6.991441849","52.00322662","0"
"84.515625","38.75725424","1.108953491","3.364441065","16.84698997","48.21089227","2.882236481","7.399262069","1"
"83.3671875","41.44157617","1.303898142","3.445580775","18.9180602","50.06415591","2.844080254","7.429223204","1"
"83.546875","38.49286853",".418285401","2.097921018","2.448996656","14.87967034","9.155079075","109.0529691","0"
"85.828125","44.74792407","1.272535838","2.621678054","23.97742475","53.2413762","2.202864227","3.894429578","1"
"83.1484375","38.29451859","1.522564529","4.05683926","6.010033445","30.57768602","5.726569838","34.05263772","1"
"87.703125","46.23063097","1.302489632","2.084023559","20.15133779","53.70627729","2.744228196","6.484419395","1"
"83.6640625","37.10464032",".976869343","3.291219194","1.390468227","12.74120627","12.07953726","177.9331595","0"
"86.359375","35.97432556","1.187733794","3.899848035","3.669732441","25.13569435","7.760264241","62.73552247","1"
"83.2265625","36.14234334",".490059436","2.625865105","4.956521739","27.45595042","6.400355515","43.59051717","0"
"83.78125","38.96050434",".761780803","1.858651634","2.168060201","13.28171789","10.70834225","158.3292706","0"
"84.3359375","42.10260483",".859224743","1.982141691","11.53344482","43.87085469","3.969981663","14.9778981","1"
"85.578125","45.34461954","1.5705241","3.205262034","1.83277592","14.83472366","12.66582563","180.0859761","1"
