"MIP","STDIP","EKIP","SIP","MC","STDC","EKC","SC","TARGET"
"23.734375","31.60658663","5.485040455","31.87704369","32.78177258","57.9005609","2.020024126","3.614699199","1"
"22.515625","30.84132383","5.701812939","34.57422517","74.82692308","71.16992463",".803085933","-.138984649","1"
"23.625","29.94865398","5.688038235","35.98717152","146.5685619","82.39462399","-.274901598","-1.121848281","1"
"90.96875","41.60790518",".729465117","1.211588181","1.897993311","14.79264583","10.41870697","128.7548875","0"
"23.671875","31.17769369","5.157291159","30.3466079","69.51086957","62.25601782","1.346742515","1.18128119","1"
"23.984375","30.68615943","5.452668529","32.17644209","88.47073579","65.77738106",".623538239",".044306412","1"
"90.3671875","46.99698645",".598654819",".939849408","5.459866221","26.81160386","5.570131987","33.10949221","0"
"90.8359375","40.58204986",".595021791","1.265456957","1.078595318","11.50805346","14.36137755","249.416104","0"
"91.1484375","42.76372036",".372866591",".983360034","2.39548495","16.94487264","9.384364735","103.9114165","0"
"91.1640625","43.8265005",".678475981","1.318061235","2.025083612","15.75972513","9.640388152","108.2153475","0"
"91","42.13612613",".406781626","1.041257986","2.112876254","14.09688649","10.23829714","134.0443213","0"
"23.4765625","28.22619706","6.111068801","41.38180222","47.02424749","62.36272079","1.435898641","1.467188043","1"
"20.9140625","43.18329888","3.888401588","14.80985139","109.2148829","56.43568405",".580705039",".065487529","1"
"90.9375","37.61518767",".437059909","1.97729595","6.342809365","31.9815667","5.311738184","28.04288386","0"
"23.703125","41.67777424","4.112598685","16.68712542","12.27257525","39.32338633","3.710672843","14.11099688","1"
"91.15625","40.66679341",".534497547","1.274230804","1.501672241","13.01340307","11.25492938","158.6882129","0"
"22.796875","31.00790206","5.885265052","36.11819086","116.5961538","57.22812665",".741588543",".225858994","1"
"91.2265625","45.16518551",".525521801",".709620319","2.662207358","16.70723542","9.242749149","104.4090841","0"
"23.4375","31.92783611","5.186538665","29.27567544","41.97491639","62.68876009","1.484328018","1.424919181","1"
"21.3984375","29.04988701","6.001279885","39.37420348","115.9130435","91.08990265",".1393163","-1.493106877","1"
"90.78125","43.36598204",".77709762","1.818241352","1.826086957","12.49106122","11.07943839","168.3648453","0"
"90.640625","35.70467721",".521520073","2.543200349","1.919732441","17.48550031","10.65795717","123.4802383","0"
"23.7421875","34.00120542","5.345395214","29.66674991","80.71070234","71.63100998",".917680666","-.147970458","1"
"90.40625","49.83557927",".728950033",".391516413","2.20819398","13.36862122","10.18493543","140.0214867","0"
"90.359375","38.68093328",".93173099","3.070235177","2.37458194","17.49697029","9.194039361","96.17773431","0"
"90.375","50.95724311",".788316579",".775012947","1.694816054","14.74390095","10.65191874","131.736375","0"
"25.6171875","35.17659047","5.33660541","29.06086168","91.39715719","69.11457667",".536484532","-.271944596","1"
"23.2734375","35.32897068","4.868320871","23.99645419","122.2525084","75.53971769","-.073049929","-.97263797","1"
"90.6015625","43.06015775",".614389014",".956666442","1.120401338","12.40147331","13.21546291","202.9149023","0"
"90.5078125","44.58629205",".483678265",".846910966","3.029264214","20.04705951","8.099442318","73.46131862","0"
"24.7265625","30.09846208","5.660516554","35.16935086","33.05016722","65.62385842","2.076823061","3.221195515","1"
"25.4453125","31.24995215","5.365693006","31.54724723","50.27759197","65.14055962","1.376166315","1.163678808","1"
"20.8046875","35.84538381","4.686132238","22.27669719","124.5050167","71.51378571","-.239924344","-.596142712","1"
"21.8515625","32.90328865","5.435666216","31.2568822","103.2550167","79.73912954",".102797576","-1.108933123","1"
"21.796875","41.3561814","3.967173195","16.0126981","58.32692308","64.92494492","1.506915694","1.256135437","1"
"21.15625","32.83991414","5.038659359","27.73543276","99.29598662","77.89049438",".178098694","-1.004648753","1"
"24.2109375","28.9767289","5.72382902","37.23975995","87.5735786","71.44373868",".791076439","-.186095272","1"
"21.765625","39.41456036","4.336827248","19.17344236","78.89297659","51.95236998","1.512810897","1.675203328","1"
"91.1796875","36.73882347",".725190134","2.218225958","1.857023411","11.72506074","11.8417002","203.0856945","0"
"25.875","36.65549072","4.353534701","19.41923002","90.7132107","65.61180195",".341897847","-.528906172","1"
"25.78125","29.41856809","6.394198085","44.77445582","26.16722408","55.69598074","2.412768104","5.322083979","1"
"22.859375","33.00419821","5.198502699","28.10315333","73.95819398","63.18079323",".997992772",".525573228","1"
"91.234375","41.30497934",".629775809","1.247183504",".488294314","10.23326745","22.19875245","507.3836802","0"
